iter,elapsed_s,episode_return_agent0,episode_return_agent1,episode_return_team,episode_return_mean,steps,rescued_frac,rescued_count,l_elbo,l_cpc,l_rho,l_cov,exp_critic_loss,exp_policy_loss,alpha_exp_mean,exe_critic_loss,exe_policy_loss,alpha_exe
0,11.2,-17.184816360473633,-26.57700538635254,-43.76182174682617,-21.880910873413086,350,0.00390625,0.015625,121913.984375,0.0,0.410587340593338,1.294952392578125,26.331682205200195,3.213995933532715,0.20000000298023224,4.005252361297607,333.5836181640625,0.19993999600410461
1,21.8,-188.44631958007812,-21.30782699584961,-209.754150390625,-104.8770751953125,350,0.00390625,0.015625,20540.48046875,0.0,0.473021924495697,0.026415124535560608,9.029058456420898,2.9645960330963135,0.2000046819448471,12241.740234375,607.6627197265625,0.19993634521961212
2,33.4,-26.20775604248047,-26.227750778198242,-52.435508728027344,-26.217754364013672,350,0.03125,0.125,39621.94140625,0.0,0.4101891815662384,2.863510847091675,9.317068099975586,2.331317901611328,0.20000016689300537,4121.2314453125,93.2388916015625,0.19990894198417664
3,44.4,-41.81277084350586,-41.01588821411133,-82.82865905761719,-41.414329528808594,350,0.0,0.0,21754.33203125,0.0,0.33339807391166687,0.0260317400097847,7.832732200622559,3.0960755348205566,0.19999264180660248,177.3292999267578,303.14691162109375,0.19988249242305756
4,55.2,-23.4047794342041,-23.037269592285156,-46.442047119140625,-23.221023559570312,350,0.07421875,0.296875,134004.421875,0.0,0.29667192697525024,3.5390214920043945,10.262840270996094,2.953385591506958,0.19998252391815186,259719.203125,-287.580810546875,0.19984975457191467
5,65.9,-24.79243278503418,-75.99307250976562,-100.78550720214844,-50.39275360107422,350,0.0078125,0.03125,94270.375,1.7110552787780762,0.3003344237804413,0.8058986067771912,4.361766338348389,2.120140552520752,0.1999676525592804,73.20077514648438,223.13308715820312,0.19981664419174194
6,76.5,-15.00098991394043,-36.69630432128906,-51.697296142578125,-25.848648071289062,350,0.0,0.0,17372.82421875,0.0,0.4272734522819519,0.09750044345855713,4.524267196655273,2.776625871658325,0.19995522499084473,10.886982917785645,404.1278991699219,0.19977538287639618
7,87.0,-86.09725952148438,-72.97227478027344,-159.0695343017578,-79.5347671508789,350,0.0,0.0,32215.10546875,0.0,0.31992244720458984,0.3307400941848755,5.691921234130859,3.501831531524658,0.19993877410888672,6674.03759765625,473.2982177734375,0.19973087310791016
8,97.6,-57.34889602661133,-40.63484573364258,-97.9837417602539,-48.99187088012695,350,0.0859375,0.34375,100683.859375,2.78725004196167,0.2906964421272278,80.65768432617188,5.422032833099365,4.813254356384277,0.19992832839488983,8584.298828125,72.59178924560547,0.1996857225894928
9,108.5,-29.292152404785156,-36.010902404785156,-65.30305480957031,-32.651527404785156,350,0.0,0.0,29489.9453125,0.0,0.43853768706321716,0.2609612047672272,2.52382493019104,2.4652066230773926,0.1999165117740631,2272.89013671875,216.66598510742188,0.1996362805366516
