iter,elapsed_s,l_cpd,grad_norm
0,64.3,0.7246524691581726,2.3958580493927
1,129.6,0.46893253922462463,1.2526090145111084
2,192.9,0.3536798059940338,0.6210232377052307
3,263.3,0.31621304154396057,0.31506600975990295
4,329.2,0.30084341764450073,0.0969444066286087
5,392.2,0.30527761578559875,0.18460026383399963
6,456.5,0.3095110058784485,0.25669005513191223
7,520.0,0.31264394521713257,0.28999826312065125
8,583.0,0.2761020064353943,0.2100752592086792
9,646.5,0.2738542854785919,0.183662548661232
10,714.1,0.27322959899902344,0.14988401532173157
11,776.6,0.3042260706424713,0.1902160942554474
12,840.2,0.3341518044471741,0.2187196910381317
13,907.7,0.3295070230960846,0.42269977927207947
14,973.3,0.2741949260234833,0.23515912890434265
15,1036.1,0.3061526417732239,0.2558576464653015
16,1097.1,0.32935747504234314,0.13219411671161652
17,1161.7,0.2981179654598236,0.1356494426727295
18,1227.9,0.3245038390159607,0.05601833760738373
19,1292.2,0.29859617352485657,0.11971389502286911
20,1353.5,0.2979525923728943,0.10912492871284485
21,1416.5,0.2703689932823181,0.15415391325950623
22,1484.5,0.2684309482574463,0.08273138105869293
23,1547.3,0.29792487621307373,0.061948180198669434
24,1610.3,0.32811251282691956,0.23654896020889282
25,1674.7,0.2354356348514557,0.09726468473672867
26,1739.1,0.29841941595077515,0.2952945828437805
27,1803.3,0.2675825357437134,0.039615824818611145
28,1863.9,0.26735350489616394,0.04450243338942528
29,1928.7,0.3288476765155792,0.21687069535255432
30,1993.1,0.299725204706192,0.1133936420083046
31,2055.2,0.26729127764701843,0.03459484502673149
32,2127.0,0.32773733139038086,0.15758375823497772
33,2189.0,0.2971290051937103,0.24283286929130554
34,2252.0,0.23992906510829926,0.2201671600341797
35,2315.8,0.2973621189594269,0.027673212811350822
36,2378.2,0.32559874653816223,0.09090954810380936
37,2443.1,0.24040724337100983,0.23873566091060638
38,2506.1,0.32420945167541504,0.08129648864269257
39,2568.3,0.32486578822135925,0.08983338624238968
40,2632.8,0.26899275183677673,0.11514496058225632
41,2698.3,0.3247860372066498,0.07588718831539154
42,2762.6,0.32427355647087097,0.09177892655134201
43,2824.9,0.2973693609237671,0.03698153793811798
44,2887.5,0.2685026526451111,0.12276997417211533
45,2951.7,0.2683561146259308,0.11238063126802444
46,3013.3,0.29654553532600403,0.02322177216410637
47,3075.9,0.2681543231010437,0.09032128751277924
48,3139.9,0.2973324954509735,0.027780015021562576
49,3206.8,0.2369096726179123,0.13707493245601654
50,3269.0,0.32676219940185547,0.15286055207252502
51,3333.6,0.2974226772785187,0.07036277651786804
52,3396.8,0.3278909921646118,0.19704709947109222
53,3462.9,0.23694375157356262,0.13245746493339539
54,3524.7,0.2672012150287628,0.014135907404124737
55,3588.0,0.2971985936164856,0.09003956615924835
56,3650.5,0.236764594912529,0.13746203482151031
57,3715.3,0.2670899033546448,0.021336328238248825
58,3777.2,0.3265977203845978,0.15583060681819916
59,3842.5,0.2968860864639282,0.054049909114837646
60,3905.0,0.32604122161865234,0.13821041584014893
61,3976.3,0.26731234788894653,0.05343965068459511
62,4041.2,0.2965320944786072,0.009109163656830788
63,4105.8,0.3245548605918884,0.07731348276138306
64,4169.5,0.29665544629096985,0.029341042041778564
65,4236.6,0.32397761940956116,0.04347297549247742
66,4300.6,0.242282897233963,0.2718893885612488
67,4364.3,0.241719588637352,0.26099327206611633
68,4427.6,0.2687484622001648,0.12375679612159729
69,4490.5,0.3250180184841156,0.10254720598459244
70,4554.4,0.2962573766708374,0.03182340785861015
71,4617.8,0.2672125995159149,0.04488791897892952
72,4683.0,0.23628294467926025,0.11993976682424545
73,4745.2,0.29827621579170227,0.12042532861232758
74,4812.2,0.23511865735054016,0.06174140423536301
75,4872.6,0.2349991649389267,0.06278000771999359
76,4936.4,0.33077436685562134,0.24724462628364563
77,5000.1,0.3306795656681061,0.24142757058143616
78,5066.8,0.29894405603408813,0.13657531142234802
79,5128.5,0.32890060544013977,0.20550216734409332
80,5191.7,0.267284095287323,0.02789905294775963
81,5253.5,0.2679131031036377,0.06194869428873062
82,5320.4,0.2965942621231079,0.022970635443925858
83,5384.7,0.2400142401456833,0.21708758175373077
84,5448.2,0.3245953321456909,0.07924042642116547
85,5511.4,0.3240758776664734,0.07003763318061829
86,5573.6,0.2694948613643646,0.15228231251239777
87,5642.0,0.26966285705566406,0.15983910858631134
88,5704.7,0.3239165246486664,0.04730711504817009
89,5766.3,0.2694328725337982,0.13100630044937134
90,5830.5,0.29675963521003723,0.022193636745214462
91,5900.7,0.32484614849090576,0.1190265417098999
92,5963.6,0.3250448405742645,0.09700208902359009
93,6028.7,0.2680078148841858,0.09038982540369034
94,6096.8,0.29680734872817993,0.01768677309155464
95,6160.3,0.3251911997795105,0.11404646188020706
96,6223.9,0.26763421297073364,0.0839388445019722
97,6291.3,0.29662561416625977,0.018969690427184105
98,6356.0,0.2676936686038971,0.08287029713392258
99,6420.1,0.2673172652721405,0.07144539803266525
100,6487.9,0.237294539809227,0.15141263604164124
101,6551.3,0.2364426851272583,0.13185788691043854
102,6616.5,0.2670052945613861,0.012602511793375015
103,6680.7,0.2670592963695526,0.025503061711788177
104,6746.8,0.29881200194358826,0.13792142271995544
105,6810.3,0.29905304312705994,0.14715296030044556
106,6873.6,0.26769185066223145,0.05738504230976105
107,6936.4,0.26732951402664185,0.049556829035282135
108,7000.1,0.23505617678165436,0.06592877954244614
109,7064.3,0.26733648777008057,0.045068707317113876
110,7126.8,0.2673702836036682,0.03447979316115379
111,7190.7,0.29894569516181946,0.1229720339179039
112,7255.4,0.23578549921512604,0.08888455480337143
113,7321.0,0.2978455424308777,0.09408855438232422
114,7384.5,0.32692089676856995,0.17297089099884033
115,7446.6,0.2672979533672333,0.03776545450091362
116,7511.7,0.2675514817237854,0.06625237315893173
117,7574.8,0.2678777575492859,0.07831399887800217
118,7637.2,0.29650789499282837,0.014588547870516777
119,7699.7,0.26795801520347595,0.09215208142995834
120,7761.1,0.23860223591327667,0.18717636168003082
