iter,elapsed_s,l_cpd,grad_norm
0,220.8,0.6467340588569641,2.0648491382598877
1,440.6,0.43204623460769653,1.124761939048767
2,661.6,0.33197036385536194,0.501129150390625
3,879.8,0.30225902795791626,0.10606975853443146
4,1101.8,0.30195334553718567,0.13725034892559052
5,1323.0,0.308280348777771,0.24945314228534698
6,1553.7,0.3111732006072998,0.285029798746109
7,1774.0,0.31183865666389465,0.28988221287727356
8,1995.8,0.27326372265815735,0.1733027547597885
9,2219.6,0.2733096778392792,0.1291554570198059
10,2446.6,0.27205196022987366,0.09785108268260956
11,2672.2,0.3025578260421753,0.12415417283773422
12,2894.0,0.3317698538303375,0.16655509173870087
13,3111.5,0.3305497467517853,0.22662299871444702
14,3337.6,0.27229681611061096,0.17583073675632477
15,3558.3,0.300253689289093,0.13604547083377838
16,3780.3,0.3253839313983917,0.04253090173006058
17,4002.2,0.29877305030822754,0.12383665144443512
18,4225.8,0.32459211349487305,0.02341161109507084
19,4444.5,0.297963947057724,0.09179268032312393
20,4676.2,0.29884961247444153,0.17258280515670776
21,4898.7,0.27105072140693665,0.19982634484767914
22,5119.3,0.26875004172325134,0.09524037688970566
23,5341.4,0.29786035418510437,0.050154443830251694
24,5561.9,0.32672661542892456,0.16289739310741425
25,5781.1,0.23635776340961456,0.11863534152507782
26,6007.2,0.29796046018600464,0.11235617101192474
27,6225.6,0.2671550512313843,0.029956374317407608
28,6449.3,0.26740971207618713,0.03312410041689873
29,6671.8,0.32944804430007935,0.23069500923156738
30,6894.0,0.2989206612110138,0.12664161622524261
31,7117.3,0.266914963722229,0.022601043805480003
32,7341.0,0.3281465768814087,0.1849661022424698
33,7560.9,0.29679587483406067,0.03390543907880783
34,7785.0,0.2391820251941681,0.21286724507808685
35,8002.0,0.29745012521743774,0.014803699217736721
36,8213.9,0.32504746317863464,0.08548364043235779
37,8434.0,0.24093323945999146,0.253743439912796
38,8652.9,0.324585497379303,0.07192951440811157
39,8880.1,0.3242456614971161,0.06075623258948326
40,9099.5,0.26869848370552063,0.13172920048236847
41,9324.2,0.32461732625961304,0.06878925859928131
42,9546.0,0.3241938054561615,0.07098105549812317
43,9770.9,0.2970934808254242,0.036768872290849686
44,9994.7,0.26876938343048096,0.13439114391803741
45,10212.1,0.26859140396118164,0.1243399828672409
46,10438.3,0.2965123653411865,0.008733985014259815
47,10657.6,0.26797038316726685,0.08394578099250793
48,10880.8,0.2968887388706207,0.03362421318888664
49,11100.3,0.23661673069000244,0.13805606961250305
50,11323.5,0.3270452916622162,0.17477843165397644
51,11548.5,0.2977220118045807,0.0898417979478836
52,11771.3,0.3279365003108978,0.20345847308635712
53,11992.7,0.23626917600631714,0.12227523326873779
54,12211.1,0.26696962118148804,0.012918737716972828
55,12438.0,0.2973608672618866,0.08637450635433197
56,12659.4,0.23678453266620636,0.13632628321647644
57,12883.0,0.2670353055000305,0.020564552396535873
58,13102.9,0.3266473114490509,0.16501085460186005
59,13315.9,0.2970740795135498,0.05800159275531769
60,13538.7,0.3256250321865082,0.14059369266033173
61,13762.6,0.26745566725730896,0.06500905007123947
62,13984.5,0.29672902822494507,0.004181080497801304
63,14202.6,0.32450219988822937,0.08113968372344971
64,14424.5,0.2965525984764099,0.022658592090010643
65,14651.6,0.3240240812301636,0.03973477706313133
66,14881.5,0.24223937094211578,0.27924004197120667
67,15106.9,0.24182181060314178,0.2679332494735718
68,15331.9,0.26880931854248047,0.1332715004682541
69,15551.6,0.32485294342041016,0.10528936237096786
70,15772.7,0.2966521084308624,0.03647364675998688
71,15993.9,0.26727956533432007,0.0414276048541069
72,16219.6,0.2361779808998108,0.11958794295787811
73,16440.2,0.29831457138061523,0.12216921895742416
74,16660.8,0.23503024876117706,0.06380119919776917
75,16884.0,0.23496749997138977,0.0573592409491539
76,17108.1,0.3309836685657501,0.25646325945854187
77,17332.7,0.33098897337913513,0.2558460831642151
78,17555.1,0.2989150583744049,0.14211010932922363
79,17773.4,0.32849448919296265,0.2099946290254593
80,17993.9,0.2670571208000183,0.025754854083061218
81,18215.1,0.2674897015094757,0.06343729048967361
82,18436.6,0.2967083752155304,0.017066169530153275
83,18658.9,0.2398841679096222,0.22545576095581055
84,18883.2,0.3243709206581116,0.07599751651287079
85,19104.7,0.324250191450119,0.06340119242668152
86,19325.6,0.2695792615413666,0.16250298917293549
87,19545.8,0.2695208489894867,0.16167549788951874
88,19762.2,0.3242102563381195,0.04790675267577171
89,19984.7,0.2688114047050476,0.1374913901090622
90,20206.4,0.29661715030670166,0.017962591722607613
91,20423.9,0.3248532712459564,0.10436695069074631
92,20644.1,0.32488787174224854,0.10631667077541351
93,20866.9,0.26771309971809387,0.08773886412382126
94,21088.6,0.29660478234291077,0.017939172685146332
95,21311.4,0.32513362169265747,0.11638046056032181
96,21529.1,0.2677525579929352,0.08264311403036118
97,21751.1,0.29665252566337585,0.01651199534535408
98,21974.7,0.2676497995853424,0.08094070106744766
99,22193.5,0.2675343155860901,0.07431560754776001
