iter,elapsed_s,episode_return_agent0,episode_return_agent1,episode_return_team,episode_return_mean,steps,rescued_frac,rescued_count,l_elbo,l_cpc,l_rho,l_cov,exp_critic_loss,exp_policy_loss,alpha_exp_mean,exe_critic_loss,exe_policy_loss,alpha_exe
0,15.7,-82.42431640625,-168.99636840820312,-251.42068481445312,-125.71034240722656,350,0.05000000074505806,0.20000000298023224,8323.296875,0.0,0.512255072593689,0.026427268981933594,68.61942291259766,6.097052574157715,0.20000000298023224,15.219430923461914,450.69927978515625,0.19993999600410461
1,29.7,-62.40763854980469,-133.15757751464844,-195.56521606445312,-97.78260803222656,350,0.0,0.0,8317.912109375,3.2828855514526367,0.5188019275665283,0.02099255658686161,42.267539978027344,5.628676891326904,0.20000138878822327,2750.85986328125,385.1464538574219,0.19988799095153809
2,47.5,-58.10166549682617,-150.0076446533203,-208.10931396484375,-104.05465698242188,350,0.07500000298023224,0.30000001192092896,8985.4951171875,3.266103506088257,0.5540723204612732,0.013790031895041466,43.52051544189453,5.895263671875,0.20000256597995758,348.22259521484375,495.23504638671875,0.19983415305614471
3,61.8,-75.36345672607422,-156.4834442138672,-231.84689331054688,-115.92344665527344,350,0.02500000037252903,0.10000000149011612,7626.3115234375,3.4628682136535645,0.5289888381958008,0.005648378282785416,41.66006088256836,6.012124061584473,0.20000502467155457,79.96427917480469,508.98529052734375,0.1997784823179245
4,77.2,-97.99314880371094,-145.171142578125,-243.16429138183594,-121.58214569091797,350,0.02500000037252903,0.10000000149011612,7688.68505859375,3.002565383911133,0.4843263030052185,0.004835445433855057,41.92253112792969,6.706975936889648,0.20000618696212769,123.30762481689453,457.58721923828125,0.19972150027751923
5,91.6,-69.9992904663086,-112.2873306274414,-182.28662109375,-91.143310546875,350,0.05000000074505806,0.20000000298023224,8147.1328125,3.261355400085449,0.419313907623291,0.004231310449540615,30.63332176208496,6.414679527282715,0.20000573992729187,655.4539794921875,414.7865295410156,0.19966338574886322
6,107.1,-34.67607879638672,-146.9260711669922,-181.60214233398438,-90.80107116699219,350,0.0,0.0,6016.2412109375,3.151766538619995,0.41608062386512756,0.003636965062469244,37.71272277832031,6.764385223388672,0.20000487565994263,128.4061737060547,440.0030822753906,0.1996043175458908
7,121.4,-33.72502517700195,-109.43701171875,-143.1620330810547,-71.58101654052734,350,0.07500000298023224,0.30000001192092896,8772.4697265625,3.2238450050354004,0.4178173840045929,0.006426396779716015,22.768962860107422,5.928762435913086,0.20000120997428894,2406.4677734375,498.5227966308594,0.1995447278022766
8,136.9,-47.02772521972656,-108.7777099609375,-155.80543518066406,-77.90271759033203,350,0.0,0.0,5543.7587890625,3.113241195678711,0.3669394850730896,0.0049155945889651775,31.817392349243164,7.0002217292785645,0.19999676942825317,1391.4976806640625,483.6624755859375,0.19948428869247437
9,152.7,-32.00916290283203,-95.52916717529297,-127.538330078125,-63.7691650390625,350,0.05000000074505806,0.20000000298023224,7473.203125,3.3448739051818848,0.37905213236808777,0.007089516613632441,19.7857723236084,6.137209415435791,0.19999051094055176,5639.419921875,517.20458984375,0.199423685669899
10,167.9,-42.18668746948242,-112.78669738769531,-154.973388671875,-77.4866943359375,350,0.0,0.0,5554.8212890625,3.3330729007720947,0.34315094351768494,0.0062487684190273285,17.97824478149414,5.631008625030518,0.19998113811016083,101.92129516601562,386.71807861328125,0.19936247169971466
11,182.2,-36.3763427734375,-83.67630004882812,-120.05264282226562,-60.02632141113281,350,0.0,0.0,5471.28369140625,3.1380162239074707,0.365560382604599,0.004551941528916359,11.421708106994629,4.868311405181885,0.19996768236160278,2462.922607421875,414.3653564453125,0.19930040836334229
12,197.8,-42.61388397216797,-101.48986053466797,-144.10374450683594,-72.05187225341797,350,0.02500000037252903,0.10000000149011612,6771.259765625,3.160341262817383,0.35052981972694397,0.00235754600726068,13.514898300170898,5.16933536529541,0.1999509036540985,763.6495971679688,377.52960205078125,0.19923758506774902
13,213.0,-44.03697967529297,-71.98900604248047,-116.02598571777344,-58.01299285888672,350,0.10000000149011612,0.4000000059604645,5943.17138671875,2.987213134765625,0.36672356724739075,0.0041230120696127415,18.97073745727539,5.548670291900635,0.1999308317899704,1393.1656494140625,338.99285888671875,0.19917398691177368
14,229.1,-34.686073303222656,-48.50209426879883,-83.18817138671875,-41.594085693359375,350,0.07500000298023224,0.30000001192092896,6612.671875,3.264099597930908,0.343383252620697,0.0032392730936408043,18.013147354125977,5.7705206871032715,0.1999087929725647,1102.00537109375,366.74072265625,0.19911088049411774
